subfamily,base_device,source_url,disposition,commercial_identity_status,exact_icpns,excluded_non_active_part_numbers,evidence_section_sha256,raw_sha256,retrieved_at_utc,evidence_surface,parser_profile,parser_version,sample_buy_gates_commercial_identity,historical_openocd_routing_status,historical_openocd_target_configs,routing_gates_commercial_identity
STM32U031,STM32U031C6,https://www.st.com/en/microcontrollers-microprocessors/stm32u031c6.html,active_candidates,verified_active,STM32U031C6T6;STM32U031C6U6,,b61e2c0fe0db7e7204df52a76caaaac551143f88518f8c5d6e7aeb9dae3dc895,beabfbe0a1b215e4b2a65219abd87966775e983ab756a6c936746ebcb1cf1b98,2026-09-11T00:20:01Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031C8,https://www.st.com/en/microcontrollers-microprocessors/stm32u031c8.html,active_candidates,verified_active,STM32U031C8T6;STM32U031C8T6TR;STM32U031C8U6,,78bf7fe3854215879f778f0a78f55037732a1985fcfc7788d1c3e9edf8856c39,076e9330b6a72cf92cb327d76490011cb846132ec2b843db47f3d3ced924f584,2026-09-11T00:20:07Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031F4,https://www.st.com/en/microcontrollers-microprocessors/stm32u031f4.html,active_candidates,verified_active,STM32U031F4P3;STM32U031F4P3TR;STM32U031F4P6,,04502d82e81c4201a77889e05ec744098d3c613126246a87a50d0cbc80054913,34d95a9e7216791056538e4e4b4b4d5380787abef757f5fa13bf5e643075f372,2026-09-11T00:20:13Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031F6,https://www.st.com/en/microcontrollers-microprocessors/stm32u031f6.html,active_candidates,verified_active,STM32U031F6P6,,acd9ba8f20efa1c0b30076fbd067f4f279c8573b7d81bd3d2fe13962b90eb3ee,553bffad4bb7eac5b7d89712a21e294e126ea9454b0d589feb4a8bd3850db594,2026-09-11T00:20:18Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031F8,https://www.st.com/en/microcontrollers-microprocessors/stm32u031f8.html,active_candidates,verified_active,STM32U031F8P6,,b5073f497b967742b5b38a5bd9e46f9a41cc735c6145eb3eb0fc108af9915272,6a7e94107821f3271f6d5eb8238a79e63f1c3ef0bae5759cd9f7c1c2b5d1cb2b,2026-09-11T00:21:24Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031K4,https://www.st.com/en/microcontrollers-microprocessors/stm32u031k4.html,active_candidates,verified_active,STM32U031K4U6,,8698b5e1e77df556b714f3286bae2650df9f2eaa71be4ff974f21f7cd2759cb5,cfc1031d05707ac362ae455f6a077c8b3e008509e135f855fe89be71223f4e5d,2026-09-11T00:21:30Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031K6,https://www.st.com/en/microcontrollers-microprocessors/stm32u031k6.html,active_candidates,verified_active,STM32U031K6U3;STM32U031K6U6,,b333822e5eb3a342a6e18fa0a33e164b523df094098285a4ce238080ddfcb6c2,ad8e463fa4fea9f04749aeb2defdd40a308e4b5a9deaf52a06966a31f56d14a6,2026-09-11T00:21:35Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031K8,https://www.st.com/en/microcontrollers-microprocessors/stm32u031k8.html,active_candidates,verified_active,STM32U031K8U3;STM32U031K8U6;STM32U031K8U6TR,,7b7357d56b9cf66523cbfc6f12026cea5f309da7c18f658e43904f2bdaaa1424,7a6807f539ef4cf2390f9a221ec392db8730e5e0cdaed16c42a951229c2ba09f,2026-09-11T00:21:40Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031R6,https://www.st.com/en/microcontrollers-microprocessors/stm32u031r6.html,active_candidates,verified_active,STM32U031R6I6;STM32U031R6T6,,62499b2f451d28483e26f99f25534a9f1f4b624d25304083031953dcfdf0029d,7bace26b509ce715a0b3c9b4ca23d8f4ee3b77e5f0648f24279721814582e734,2026-09-11T00:21:45Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
STM32U031,STM32U031R8,https://www.st.com/en/microcontrollers-microprocessors/stm32u031r8.html,active_candidates,verified_active,STM32U031R8I6;STM32U031R8T6,,1019c6f32d0760a94fabcb655fc17083b5376ec2fed0c92734b3bb3d0e2410e5,9dfd875289f23f6d56d491bb9a92545a9ab49814ba5326e1b0a082c52370a56a,2026-09-11T00:21:51Z,quality_and_reliability_part_number,stm32u0_quality_reliability_v1,2,false,unique,tcl/target/stm32u0x.cfg,false
