vendor,part_number,superseded_target_config,selected_target_config,resolution
STMicroelectronics,STM32H7R3A8Ix,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3I8Kx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3I8Tx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3L8Hx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3L8HxH,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3R8Vx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3V8Hx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3V8Tx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3V8Yx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3Z8Jx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R3Z8Tx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R7A8Ix,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R7I8Kx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R7I8Tx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R7L8Hx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R7L8HxH,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7R7Z8Jx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3A8Ix,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3I8Kx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3I8Tx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3L8Hx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3L8HxH,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3R8Vx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3V8Hx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3V8Tx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3V8Yx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3Z8Jx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S3Z8Tx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S7A8Ix,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S7I8Kx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S7I8Tx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S7L8Hx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S7L8HxH,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
STMicroelectronics,STM32H7S7Z8Jx,tcl/target/stm32h7x.cfg,tcl/target/stm32h7rsx.cfg,prefer_specific_expansion_mapping
