vendor,part_number,identifier_kind,cpu_architectures,target_config,openocd_distribution,mapping_status,validation_status,catalog_origin
Analog Devices,ADuCM360,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/aducm360.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,ADuCM361,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/aducm360.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,ADuCM362,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/aducm360.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,ADuCM363,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/aducm360.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32620,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32620.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32625,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32625.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32630,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max3263x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32631,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max3263x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32650,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32650.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32655,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32655.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32660,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32660.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32662,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32662.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32670,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32670.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32672,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32672.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32675,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32675.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32680,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32680.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Analog Devices,MAX32690,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/max32690.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F403ACCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F403ACCU7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F403ACET7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F403ACEU7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F403ARCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F403ARET7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F403AVCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
