vendor,family,subfamily,part_number,identifier_kind,cmsis_device,target_config,cpu_architectures,flash_drivers,openocd_distribution,openocd_commit,source_pack_vendor,source_pack_name,source_pack_version,source_kind,source_url,source_content_sha256,mapping_rule_id,mapping_status,validation_status
Analog Devices,ADuCM36x Series,ADuCM360_1,ADuCM360,cmsis_device_name,ADuCM360,tcl/target/aducm360.cfg,"[""ARM Cortex-M""]","[""aducm360""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,AnalogDevices,ADuCM36x_DFP,2.1.0,cmsis_pdsc,https://download.analog.com/tools/EZBoards/CM36x/Releases/AnalogDevices.ADuCM36x_DFP.pdsc,1b872a5152a4871b096069238de42a676d4ce20e5311b74c6c19ff873bb4394b,adi-aducm36,mapping_candidate,not_verified
Analog Devices,ADuCM36x Series,ADuCM360_1,ADuCM361,cmsis_device_name,ADuCM361,tcl/target/aducm360.cfg,"[""ARM Cortex-M""]","[""aducm360""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,AnalogDevices,ADuCM36x_DFP,2.1.0,cmsis_pdsc,https://download.analog.com/tools/EZBoards/CM36x/Releases/AnalogDevices.ADuCM36x_DFP.pdsc,1b872a5152a4871b096069238de42a676d4ce20e5311b74c6c19ff873bb4394b,adi-aducm36,mapping_candidate,not_verified
Analog Devices,ADuCM36x Series,ADuCM362_3,ADuCM362,cmsis_device_name,ADuCM362,tcl/target/aducm360.cfg,"[""ARM Cortex-M""]","[""aducm360""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,AnalogDevices,ADuCM36x_DFP,2.1.0,cmsis_pdsc,https://download.analog.com/tools/EZBoards/CM36x/Releases/AnalogDevices.ADuCM36x_DFP.pdsc,1b872a5152a4871b096069238de42a676d4ce20e5311b74c6c19ff873bb4394b,adi-aducm36,mapping_candidate,not_verified
Analog Devices,ADuCM36x Series,ADuCM362_3,ADuCM363,cmsis_device_name,ADuCM363,tcl/target/aducm360.cfg,"[""ARM Cortex-M""]","[""aducm360""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,AnalogDevices,ADuCM36x_DFP,2.1.0,cmsis_pdsc,https://download.analog.com/tools/EZBoards/CM36x/Releases/AnalogDevices.ADuCM36x_DFP.pdsc,1b872a5152a4871b096069238de42a676d4ce20e5311b74c6c19ff873bb4394b,adi-aducm36,mapping_candidate,not_verified
Analog Devices,MAX32620,,MAX32620,cmsis_device_name,MAX32620,tcl/target/max32620.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32620,1.0.2,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32620.pdsc,e0fcdce3d9d44478fdb1bb4ab541291ca5454e4bf7e199554f8af30f84ba8c05,adi-max32620,mapping_candidate,not_verified
Analog Devices,MAX32625,,MAX32625,cmsis_device_name,MAX32625,tcl/target/max32625.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32625,1.1.0-a,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32625.pdsc,fd4a12fb7753ef1a0fcaa61f461b3f8e63ec1c3f6c349dc84122749861a9b0ec,adi-max32625,mapping_candidate,not_verified
Analog Devices,MAX3263X,,MAX32630,cmsis_device_name,MAX32630,tcl/target/max3263x.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32630,0.2.8,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32630.pdsc,f4dd89aad62eb5917c10cd9d45ff4156f9f0cc4a215164aa703d4301485b794a,adi-max3263,mapping_candidate,not_verified
Analog Devices,MAX3263X,,MAX32631,cmsis_device_name,MAX32631,tcl/target/max3263x.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32630,0.2.8,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32630.pdsc,f4dd89aad62eb5917c10cd9d45ff4156f9f0cc4a215164aa703d4301485b794a,adi-max3263,mapping_candidate,not_verified
Analog Devices,MAX3265X,,MAX32650,cmsis_device_name,MAX32650,tcl/target/max32650.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32650,1.1.0-a,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32650.pdsc,45ecc5552d438e5b7e8803194da32d727adfa0fc6e466d6e271044e1641cdf09,adi-max32650,mapping_candidate,not_verified
Analog Devices,MAX32655 family,,MAX32655,cmsis_device_name,MAX32655,tcl/target/max32655.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32655,1.0.0,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32655.pdsc,5bf21469b313ba53bdab1b9651ef16e3adcfc1ee8007da70e3c899634e336192,adi-max32655,mapping_candidate,not_verified
