vendor,series,target_config,device_type,classification_status,capability_status,capability_reason,flash_drivers,flash_banks,include_graph,openocd_distribution,openocd_commit,validation_status
Analog Devices,ADUC702X,tcl/target/aduc702x.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""aduc702x""]","[{""declaration_file"":""tcl/target/aduc702x.cfg"",""bank"":""$_FLASHNAME"",""driver"":""aduc702x"",""base"":""0""}]","[""tcl/target/aduc702x.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,ADUCM360,tcl/target/aducm360.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""aducm360""]","[{""declaration_file"":""tcl/target/aducm360.cfg"",""bank"":""$_FLASHNAME"",""driver"":""aducm360"",""base"":""0x00""}]","[""tcl/target/aducm360.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,MAX32620,tcl/target/max32620.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""max32xxx""]","[{""declaration_file"":""tcl/target/max32xxx_common.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""max32xxx"",""base"":""$_FLASH_BASE""}]","[""tcl/target/max32620.cfg"",""tcl/target/max32xxx_common.cfg"",""tcl/mem_helper.tcl"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,MAX32625,tcl/target/max32625.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""max32xxx""]","[{""declaration_file"":""tcl/target/max32xxx_common.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""max32xxx"",""base"":""$_FLASH_BASE""}]","[""tcl/target/max32625.cfg"",""tcl/target/max32xxx_common.cfg"",""tcl/mem_helper.tcl"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,MAX3263,tcl/target/max3263x.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""max32xxx""]","[{""declaration_file"":""tcl/target/max32xxx_common.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""max32xxx"",""base"":""$_FLASH_BASE""}]","[""tcl/target/max3263x.cfg"",""tcl/target/max32xxx_common.cfg"",""tcl/mem_helper.tcl"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,MAX32650,tcl/target/max32650.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""max32xxx""]","[{""declaration_file"":""tcl/target/max32xxx_common.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""max32xxx"",""base"":""$_FLASH_BASE""}]","[""tcl/target/max32650.cfg"",""tcl/target/max32xxx_common.cfg"",""tcl/mem_helper.tcl"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,MAX32655,tcl/target/max32655.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""max32xxx""]","[{""declaration_file"":""tcl/target/max32xxx_common.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""max32xxx"",""base"":""$_FLASH_BASE""}]","[""tcl/target/max32655.cfg"",""tcl/target/max32xxx_common.cfg"",""tcl/mem_helper.tcl"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,MAX32660,tcl/target/max32660.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""max32xxx""]","[{""declaration_file"":""tcl/target/max32xxx_common.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""max32xxx"",""base"":""$_FLASH_BASE""}]","[""tcl/target/max32660.cfg"",""tcl/target/max32xxx_common.cfg"",""tcl/mem_helper.tcl"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,MAX32662,tcl/target/max32662.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""max32xxx""]","[{""declaration_file"":""tcl/target/max32xxx_common.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""max32xxx"",""base"":""$_FLASH_BASE""}]","[""tcl/target/max32662.cfg"",""tcl/target/max32xxx_common.cfg"",""tcl/mem_helper.tcl"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Analog Devices,MAX32670,tcl/target/max32670.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""max32xxx""]","[{""declaration_file"":""tcl/target/max32xxx_common.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""max32xxx"",""base"":""$_FLASH_BASE""}]","[""tcl/target/max32670.cfg"",""tcl/target/max32xxx_common.cfg"",""tcl/mem_helper.tcl"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
