vendor,family,subfamily,part_number,identifier_kind,target_config,plasma_status,pack_name,pack_version,source_url
Espressif,ESP32,,ESP32,cmsis_device_name,tcl/target/esp32.cfg,not_validated,ESP-IDF,master,https://github.com/espressif/esp-idf/tree/master/components/soc
Espressif,ESP32C2,,ESP32C2,cmsis_device_name,tcl/target/esp32c2.cfg,not_validated,ESP-IDF,master,https://github.com/espressif/esp-idf/tree/master/components/soc
Espressif,ESP32C3,,ESP32C3,cmsis_device_name,tcl/target/esp32c3.cfg,not_validated,ESP-IDF,master,https://github.com/espressif/esp-idf/tree/master/components/soc
Espressif,ESP32C6,,ESP32C6,cmsis_device_name,tcl/target/esp32c6.cfg,not_validated,ESP-IDF,master,https://github.com/espressif/esp-idf/tree/master/components/soc
Espressif,ESP32H2,,ESP32H2,cmsis_device_name,tcl/target/esp32h2.cfg,not_validated,ESP-IDF,master,https://github.com/espressif/esp-idf/tree/master/components/soc
Espressif,ESP32S2,,ESP32S2,cmsis_device_name,tcl/target/esp32s2.cfg,not_validated,ESP-IDF,master,https://github.com/espressif/esp-idf/tree/master/components/soc
Espressif,ESP32S3,,ESP32S3,cmsis_device_name,tcl/target/esp32s3.cfg,not_validated,ESP-IDF,master,https://github.com/espressif/esp-idf/tree/master/components/soc
Infineon,CCG6DF_CFP,,CYPD6129-52LQXI,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
Infineon,CCG6DF_CFP,,CYPD6129-52LQXIT,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
Infineon,CCG6DF_CFP,,CYPD6139-52LQXIT,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
Infineon,CCG6DF_CFP,,CYPD6229-52LQXI,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
Infineon,CCG6DF_CFP,,CYPD6229-52LQXIT,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
Infineon,CCG6DF_CFP,,CYPD6239-52LQXIT,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
Infineon,CCG7D,,CYPD7271-68LQXQ,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
Infineon,CCG7D,,CYPD7272-68LQXQ,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
Infineon,CCG7D,,CYPD7273-68LQXQ,cmsis_device_name,tcl/target/psoc6.cfg,not_validated,CAT2_DFP,1.6.0,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc
