vendor,series,display_name,target_config,device_type,classification_status,part_number
Unclassified,1986ВЕ1Т,1986Ве1Т,tcl/target/1986ве1т.cfg,Unknown,Needs review,
Analog Devices,ADSP-SC58X,Adsp-Sc58X,tcl/target/adsp-sc58x.cfg,MCU,Auto-classified,
Analog Devices,ADUC702X,Aduc702X,tcl/target/aduc702x.cfg,MCU,Auto-classified,
Analog Devices,ADUCM360,Aducm360,tcl/target/aducm360.cfg,MCU,Auto-classified,
Allwinner,ALLWINNER H618,Allwinner H618,tcl/target/allwinner_h618.cfg,SoC,Auto-classified,
Allwinner,ALLWINNER V3S,Allwinner V3S,tcl/target/allwinner_v3s.cfg,SoC,Auto-classified,
Unclassified,ALPHASCALE ASM9260T,Alphascale Asm9260T,tcl/target/alphascale_asm9260t.cfg,Unknown,Needs review,
Intel/Altera,ALTERA FPGASOC,Altera Fpgasoc,tcl/target/altera_fpgasoc.cfg,FPGA SoC,Auto-classified,
Intel/Altera,ALTERA FPGASOC ARRIA10,Altera Fpgasoc Arria10,tcl/target/altera_fpgasoc_arria10.cfg,FPGA SoC,Auto-classified,
Unclassified,AMPERE EMAG,Ampere Emag,tcl/target/ampere_emag.cfg,Unknown,Needs review,
Unclassified,AMPERE QS MQ,Ampere Qs Mq,tcl/target/ampere_qs_mq.cfg,Unknown,Needs review,
Qualcomm/Atheros,AR71XX,Ar71Xx,tcl/target/ar71xx.cfg,SoC,Auto-classified,
Arm,ARM CORELINK SSE200,Arm Corelink Sse200,tcl/target/arm_corelink_sse200.cfg,SoC,Auto-classified,
Unclassified,ARMADA370,Armada370,tcl/target/armada370.cfg,Unknown,Needs review,
Artery,AT32F4X,At32F4X,tcl/target/artery/at32f4x.cfg,MCU,Auto-classified,
Unclassified,AT32AP7000,At32Ap7000,tcl/target/at32ap7000.cfg,Unknown,Needs review,
Microchip,AT91R40008,At91R40008,tcl/target/at91r40008.cfg,MCU,Auto-classified,
Microchip,AT91RM9200,At91Rm9200,tcl/target/at91rm9200.cfg,MCU,Auto-classified,
Microchip,AT91SAM3X,At91Sam3Xxx,tcl/target/at91sam3XXX.cfg,MCU,Auto-classified,
Microchip,AT91SAM3AX,At91Sam3Ax 4X,tcl/target/at91sam3ax_4x.cfg,MCU,Auto-classified,
Microchip,AT91SAM3AX,At91Sam3Ax 8X,tcl/target/at91sam3ax_8x.cfg,MCU,Auto-classified,
Microchip,AT91SAM3AX,At91Sam3Ax Xx,tcl/target/at91sam3ax_xx.cfg,MCU,Auto-classified,
Microchip,AT91SAM3NX,At91Sam3Nxx,tcl/target/at91sam3nXX.cfg,MCU,Auto-classified,
Microchip,AT91SAM3SX,At91Sam3Sxx,tcl/target/at91sam3sXX.cfg,MCU,Auto-classified,
Microchip,AT91SAM3U1C,At91Sam3U1C,tcl/target/at91sam3u1c.cfg,MCU,Auto-classified,
Microchip,AT91SAM3U1E,At91Sam3U1E,tcl/target/at91sam3u1e.cfg,MCU,Auto-classified,
Microchip,AT91SAM3U2C,At91Sam3U2C,tcl/target/at91sam3u2c.cfg,MCU,Auto-classified,
Microchip,AT91SAM3U2E,At91Sam3U2E,tcl/target/at91sam3u2e.cfg,MCU,Auto-classified,
Microchip,AT91SAM3U4C,At91Sam3U4C,tcl/target/at91sam3u4c.cfg,MCU,Auto-classified,
Microchip,AT91SAM3U4E,At91Sam3U4E,tcl/target/at91sam3u4e.cfg,MCU,Auto-classified,
Microchip,AT91SAM3UX,At91Sam3Uxx,tcl/target/at91sam3uxx.cfg,MCU,Auto-classified,
Microchip,AT91SAM4X,At91Sam4Xxx,tcl/target/at91sam4XXX.cfg,MCU,Auto-classified,
Microchip,AT91SAM4C32X,At91Sam4C32X,tcl/target/at91sam4c32x.cfg,MCU,Auto-classified,
Microchip,AT91SAM4CX,At91Sam4Cxxx,tcl/target/at91sam4cXXX.cfg,MCU,Auto-classified,
Microchip,AT91SAM4LX,At91Sam4Lxx,tcl/target/at91sam4lXX.cfg,MCU,Auto-classified,
Microchip,AT91SAM4SX,At91Sam4Sxx,tcl/target/at91sam4sXX.cfg,MCU,Auto-classified,
Microchip,AT91SAM4SD32X,At91Sam4Sd32X,tcl/target/at91sam4sd32x.cfg,MCU,Auto-classified,
Microchip,AT91SAM7A2,At91Sam7A2,tcl/target/at91sam7a2.cfg,MCU,Auto-classified,
Microchip,AT91SAM7SE512,At91Sam7Se512,tcl/target/at91sam7se512.cfg,MCU,Auto-classified,
Microchip,AT91SAM7SX,At91Sam7Sx,tcl/target/at91sam7sx.cfg,MCU,Auto-classified,
Microchip,AT91SAM7X256,At91Sam7X256,tcl/target/at91sam7x256.cfg,MCU,Auto-classified,
Microchip,AT91SAM7X512,At91Sam7X512,tcl/target/at91sam7x512.cfg,MCU,Auto-classified,
Microchip,AT91SAM9,At91Sam9,tcl/target/at91sam9.cfg,MCU,Auto-classified,
Microchip,AT91SAM9260,At91Sam9260,tcl/target/at91sam9260.cfg,MCU,Auto-classified,
Microchip,AT91SAM9260,At91Sam9260 Ext Ram Ext Flash,tcl/target/at91sam9260_ext_RAM_ext_flash.cfg,MCU,Auto-classified,
Microchip,AT91SAM9261,At91Sam9261,tcl/target/at91sam9261.cfg,MCU,Auto-classified,
Microchip,AT91SAM9263,At91Sam9263,tcl/target/at91sam9263.cfg,MCU,Auto-classified,
Microchip,AT91SAM9G10,At91Sam9G10,tcl/target/at91sam9g10.cfg,MCU,Auto-classified,
Microchip,AT91SAM9G20,At91Sam9G20,tcl/target/at91sam9g20.cfg,MCU,Auto-classified,
Microchip,AT91SAM9G45,At91Sam9G45,tcl/target/at91sam9g45.cfg,MCU,Auto-classified,
Microchip,AT91SAM9RL,At91Sam9Rl,tcl/target/at91sam9rl.cfg,MCU,Auto-classified,
Microchip,AT91SAMA5D2,At91Sama5D2,tcl/target/at91sama5d2.cfg,MCU,Auto-classified,
Microchip,AT91SAMDX,At91Samdxx,tcl/target/at91samdXX.cfg,MCU,Auto-classified,
Microchip,AT91SAMG5X,At91Samg5X,tcl/target/at91samg5x.cfg,MCU,Auto-classified,
Qualcomm/Atheros,ATHEROS AR2313,Atheros Ar2313,tcl/target/atheros_ar2313.cfg,SoC,Auto-classified,
Qualcomm/Atheros,ATHEROS AR2315,Atheros Ar2315,tcl/target/atheros_ar2315.cfg,SoC,Auto-classified,
Qualcomm/Atheros,ATHEROS AR9331,Atheros Ar9331,tcl/target/atheros_ar9331.cfg,SoC,Auto-classified,
Qualcomm/Atheros,ATHEROS AR9344,Atheros Ar9344,tcl/target/atheros_ar9344.cfg,SoC,Auto-classified,
Microchip,ATMEGA128,Atmega128,tcl/target/atmega128.cfg,MCU,Auto-classified,
Microchip,ATMEGA128,Atmega128Rfa1,tcl/target/atmega128rfa1.cfg,MCU,Auto-classified,
Microchip,ATMEGA32,Atmega32U4,tcl/target/atmega32u4.cfg,MCU,Auto-classified,
Microchip,ATSAME5X,Atsame5X,tcl/target/atsame5x.cfg,MCU,Auto-classified,
Microchip,ATSAML1X,Atsaml1X,tcl/target/atsaml1x.cfg,MCU,Auto-classified,
Microchip,ATSAMV,Atsamv,tcl/target/atsamv.cfg,MCU,Auto-classified,
Microchip,AVR32,Avr32,tcl/target/avr32.cfg,MCU,Auto-classified,
Broadcom,BCM2711,Bcm2711,tcl/target/bcm2711.cfg,SoC,Auto-classified,
Broadcom,BCM281,Bcm281Xx,tcl/target/bcm281xx.cfg,SoC,Auto-classified,
Broadcom,BCM2835,Bcm2835,tcl/target/bcm2835.cfg,SoC,Auto-classified,
Broadcom,BCM2836,Bcm2836,tcl/target/bcm2836.cfg,SoC,Auto-classified,
Broadcom,BCM2837,Bcm2837,tcl/target/bcm2837.cfg,SoC,Auto-classified,
Broadcom,BCM4706,Bcm4706,tcl/target/bcm4706.cfg,SoC,Auto-classified,
Broadcom,BCM4718,Bcm4718,tcl/target/bcm4718.cfg,SoC,Auto-classified,
Broadcom,BCM47,Bcm47Xx,tcl/target/bcm47xx.cfg,SoC,Auto-classified,
Broadcom,BCM5352,Bcm5352E,tcl/target/bcm5352e.cfg,SoC,Auto-classified,
Broadcom,BCM6348,Bcm6348,tcl/target/bcm6348.cfg,SoC,Auto-classified,
Bouffalo Lab,BL602,Bl602,tcl/target/bl602.cfg,Wireless MCU,Auto-classified,
Bouffalo Lab,BL602,Bl602 Common,tcl/target/bl602_common.cfg,Wireless MCU,Internal/helper,
Bouffalo Lab,BL616,Bl616,tcl/target/bl616.cfg,Wireless MCU,Auto-classified,
Bouffalo Lab,BL702,Bl702,tcl/target/bl702.cfg,Wireless MCU,Auto-classified,
Bouffalo Lab,BL702,Bl702L,tcl/target/bl702l.cfg,Wireless MCU,Auto-classified,
Unclassified,BLUEFIELD,Bluefield,tcl/target/bluefield.cfg,Unknown,Needs review,
STMicroelectronics,BLUENRG-X,Bluenrg-X,tcl/target/bluenrg-x.cfg,MCU,Auto-classified,
Infineon/Cypress,C100,C100,tcl/target/c100.cfg,MCU,Auto-classified,
Unclassified,CAVIUM CN61XX,Cavium Cn61Xx,tcl/target/cavium_cn61xx.cfg,Unknown,Needs review,
Unclassified,CS351X,Cs351X,tcl/target/cs351x.cfg,Unknown,Needs review,
Unclassified,DRAGONITE,Dragonite,tcl/target/dragonite.cfg,Unknown,Needs review,
Unclassified,DSP56321,Dsp56321,tcl/target/dsp56321.cfg,DSP,Needs review,
Unclassified,DSP568013,Dsp568013,tcl/target/dsp568013.cfg,DSP,Needs review,
Unclassified,DSP568037,Dsp568037,tcl/target/dsp568037.cfg,DSP,Needs review,
Silicon Labs,EFM32,Efm32,tcl/target/efm32.cfg,MCU,Auto-classified,
Silicon Labs,EM357,Em357,tcl/target/em357.cfg,MCU,Auto-classified,
Silicon Labs,EM358,Em358,tcl/target/em358.cfg,MCU,Auto-classified,
Unclassified,EOS S3,Eos S3,tcl/target/eos_s3.cfg,Unknown,Needs review,
Unclassified,EPC9301,Epc9301,tcl/target/epc9301.cfg,Unknown,Needs review,
Unclassified,ESI32XX,Esi32Xx,tcl/target/esi32xx.cfg,Unknown,Needs review,
Espressif,ESP32,Esp32,tcl/target/esp32.cfg,Wireless MCU,Auto-classified,
Espressif,ESP32C2,Esp32C2,tcl/target/esp32c2.cfg,Wireless MCU,Auto-classified,
Espressif,ESP32C3,Esp32C3,tcl/target/esp32c3.cfg,Wireless MCU,Auto-classified,
Espressif,ESP32C6,Esp32C6,tcl/target/esp32c6.cfg,Wireless MCU,Auto-classified,
Espressif,ESP32H2,Esp32H2,tcl/target/esp32h2.cfg,Wireless MCU,Auto-classified,
Espressif,ESP32S2,Esp32S2,tcl/target/esp32s2.cfg,Wireless MCU,Auto-classified,
Espressif,ESP32S3,Esp32S3,tcl/target/esp32s3.cfg,Wireless MCU,Auto-classified,
Espressif,ESP,Esp Common,tcl/target/esp_common.cfg,Wireless MCU,Internal/helper,
Samsung,EXYNOS5250,Exynos5250,tcl/target/exynos5250.cfg,SoC,Auto-classified,
Unclassified,FAUX,Faux,tcl/target/faux.cfg,Unknown,Internal/helper,
Unclassified,FEROCEON,Feroceon,tcl/target/feroceon.cfg,Unknown,Internal/helper,
Cypress/Fujitsu,FM3,Fm3,tcl/target/fm3.cfg,MCU,Auto-classified,
Cypress/Fujitsu,FM4,Fm4,tcl/target/fm4.cfg,MCU,Auto-classified,
Cypress/Fujitsu,FM4 MB9BF,Fm4 Mb9Bf,tcl/target/fm4_mb9bf.cfg,MCU,Auto-classified,
Cypress/Fujitsu,FM4 S6E2CC,Fm4 S6E2Cc,tcl/target/fm4_s6e2cc.cfg,MCU,Auto-classified,
Geehy,APM32F0X,Apm32F0X,tcl/target/geehy/apm32f0x.cfg,MCU,Auto-classified,
