manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32C011F4P6,STM32C0,STM32C011,STM32C011F4,TSSOP,20,16 KiB,-40 to 85 C,,,STM32C011F4Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F4P7,STM32C0,STM32C011,STM32C011F4,TSSOP,20,16 KiB,-40 to 105 C,,,STM32C011F4Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F4P7TR,STM32C0,STM32C011,STM32C011F4,TSSOP,20,16 KiB,-40 to 105 C,TR,,STM32C011F4Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F4U3TR,STM32C0,STM32C011,STM32C011F4,UFQFPN,20,16 KiB,-40 to 125 C,TR,,STM32C011F4Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F4U6TR,STM32C0,STM32C011,STM32C011F4,UFQFPN,20,16 KiB,-40 to 85 C,TR,,STM32C011F4Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6P3,STM32C0,STM32C011,STM32C011F6,TSSOP,20,32 KiB,-40 to 125 C,,,STM32C011F6Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6P3TR,STM32C0,STM32C011,STM32C011F6,TSSOP,20,32 KiB,-40 to 125 C,TR,,STM32C011F6Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6P6,STM32C0,STM32C011,STM32C011F6,TSSOP,20,32 KiB,-40 to 85 C,,,STM32C011F6Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6P6TR,STM32C0,STM32C011,STM32C011F6,TSSOP,20,32 KiB,-40 to 85 C,TR,,STM32C011F6Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6P7,STM32C0,STM32C011,STM32C011F6,TSSOP,20,32 KiB,-40 to 105 C,,,STM32C011F6Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6P7TR,STM32C0,STM32C011,STM32C011F6,TSSOP,20,32 KiB,-40 to 105 C,TR,,STM32C011F6Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6U3TR,STM32C0,STM32C011,STM32C011F6,UFQFPN,20,32 KiB,-40 to 125 C,TR,,STM32C011F6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6U6TR,STM32C0,STM32C011,STM32C011F6,UFQFPN,20,32 KiB,-40 to 85 C,TR,,STM32C011F6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011F6U7TR,STM32C0,STM32C011,STM32C011F6,UFQFPN,20,32 KiB,-40 to 105 C,TR,,STM32C011F6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011J4M6,STM32C0,STM32C011,STM32C011J4,SO8N,8,16 KiB,-40 to 85 C,,,STM32C011J4Mx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32C011J6M3,STM32C0,STM32C011,STM32C011J6,SO8N,8,32 KiB,-40 to 125 C,,,STM32C011J6Mx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32c0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32c011f4.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
