manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32F030C6T6,STM32F0,STM32F030,STM32F030C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32F030C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f030c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F030C6T6TR,STM32F0,STM32F030,STM32F030C6,LQFP,48,32 KiB,-40 to 85 C,TR,,STM32F030C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f030c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F031C4T6,STM32F0,STM32F031,STM32F031C4,LQFP,48,16 KiB,-40 to 85 C,,,STM32F031C4Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f031c4.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F031C4T6TR,STM32F0,STM32F031,STM32F031C4,LQFP,48,16 KiB,-40 to 85 C,TR,,STM32F031C4Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f031c4.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F038C6T6,STM32F0,STM32F038,STM32F038C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32F038C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f038c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F038C6T6TR,STM32F0,STM32F038,STM32F038C6,LQFP,48,32 KiB,-40 to 85 C,TR,,STM32F038C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f038c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F038C6T7,STM32F0,STM32F038,STM32F038C6,LQFP,48,32 KiB,-40 to 105 C,,,STM32F038C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f038c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F042C4T6,STM32F0,STM32F042,STM32F042C4,LQFP,48,16 KiB,-40 to 85 C,,,STM32F042C4Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f042c4.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F042C4U6,STM32F0,STM32F042,STM32F042C4,UFQFPN,48,16 KiB,-40 to 85 C,,,STM32F042C4Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f042c4.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F048C6U6,STM32F0,STM32F048,STM32F048C6,UFQFPN,48,32 KiB,-40 to 85 C,,,STM32F048C6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f048c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F048C6U6TR,STM32F0,STM32F048,STM32F048C6,UFQFPN,48,32 KiB,-40 to 85 C,TR,,STM32F048C6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f048c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F051C4T6,STM32F0,STM32F051,STM32F051C4,LQFP,48,16 KiB,-40 to 85 C,,,STM32F051C4Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f051c4.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F051C4T6TR,STM32F0,STM32F051,STM32F051C4,LQFP,48,16 KiB,-40 to 85 C,TR,,STM32F051C4Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f051c4.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F051C4U6,STM32F0,STM32F051,STM32F051C4,UFQFPN,48,16 KiB,-40 to 85 C,,,STM32F051C4Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f051c4.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F058C8U6,STM32F0,STM32F058,STM32F058C8,UFQFPN,48,64 KiB,-40 to 85 C,,,STM32F058C8Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f058c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F070C6T6,STM32F0,STM32F070,STM32F070C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32F070C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f070c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F070C6T6TR,STM32F0,STM32F070,STM32F070C6,LQFP,48,32 KiB,-40 to 85 C,TR,,STM32F070C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f070c6.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F071C8T6,STM32F0,STM32F071,STM32F071C8,LQFP,48,64 KiB,-40 to 85 C,,,STM32F071C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f071c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F071C8T6TR,STM32F0,STM32F071,STM32F071C8,LQFP,48,64 KiB,-40 to 85 C,TR,,STM32F071C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f071c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F071C8U6,STM32F0,STM32F071,STM32F071C8,UFQFPN,48,64 KiB,-40 to 85 C,,,STM32F071C8Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f071c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F071C8U7,STM32F0,STM32F071,STM32F071C8,UFQFPN,48,64 KiB,-40 to 105 C,,,STM32F071C8Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f071c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F071C8U7TR,STM32F0,STM32F071,STM32F071C8,UFQFPN,48,64 KiB,-40 to 105 C,TR,,STM32F071C8Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f071c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F072C8T6,STM32F0,STM32F072,STM32F072C8,LQFP,48,64 KiB,-40 to 85 C,,,STM32F072C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f072c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F072C8T6TR,STM32F0,STM32F072,STM32F072C8,LQFP,48,64 KiB,-40 to 85 C,TR,,STM32F072C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f072c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F072C8T7,STM32F0,STM32F072,STM32F072C8,LQFP,48,64 KiB,-40 to 105 C,,,STM32F072C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f072c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F072C8U6,STM32F0,STM32F072,STM32F072C8,UFQFPN,48,64 KiB,-40 to 85 C,,,STM32F072C8Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f072c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F072C8U6TR,STM32F0,STM32F072,STM32F072C8,UFQFPN,48,64 KiB,-40 to 85 C,TR,,STM32F072C8Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f072c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F072C8U7,STM32F0,STM32F072,STM32F072C8,UFQFPN,48,64 KiB,-40 to 105 C,,,STM32F072C8Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f072c8.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F078CBT6,STM32F0,STM32F078,STM32F078CB,LQFP,48,128 KiB,-40 to 85 C,,,STM32F078CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f078cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F078CBU6,STM32F0,STM32F078,STM32F078CB,UFQFPN,48,128 KiB,-40 to 85 C,,,STM32F078CBUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f078cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F078CBU6TR,STM32F0,STM32F078,STM32F078CB,UFQFPN,48,128 KiB,-40 to 85 C,TR,,STM32F078CBUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f078cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F078CBY6TR,STM32F0,STM32F078,STM32F078CB,WLCSP,49,128 KiB,-40 to 85 C,TR,,STM32F078CBYx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f078cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F091CBT6,STM32F0,STM32F091,STM32F091CB,LQFP,48,128 KiB,-40 to 85 C,,,STM32F091CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f091cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F091CBT6TR,STM32F0,STM32F091,STM32F091CB,LQFP,48,128 KiB,-40 to 85 C,TR,,STM32F091CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f091cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F091CBT7,STM32F0,STM32F091,STM32F091CB,LQFP,48,128 KiB,-40 to 105 C,,,STM32F091CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f091cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F091CBT7TR,STM32F0,STM32F091,STM32F091CB,LQFP,48,128 KiB,-40 to 105 C,TR,,STM32F091CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f091cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F091CBU6,STM32F0,STM32F091,STM32F091CB,UFQFPN,48,128 KiB,-40 to 85 C,,,STM32F091CBUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f091cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F091CBU6TR,STM32F0,STM32F091,STM32F091CB,UFQFPN,48,128 KiB,-40 to 85 C,TR,,STM32F091CBUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f091cb.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F098CCT6,STM32F0,STM32F098,STM32F098CC,LQFP,48,256 KiB,-40 to 85 C,,,STM32F098CCTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f098cc.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F098CCT7,STM32F0,STM32F098,STM32F098CC,LQFP,48,256 KiB,-40 to 105 C,,,STM32F098CCTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f098cc.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F098CCU6,STM32F0,STM32F098,STM32F098CC,UFQFPN,48,256 KiB,-40 to 85 C,,,STM32F098CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f098cc.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F098CCU6TR,STM32F0,STM32F098,STM32F098CC,UFQFPN,48,256 KiB,-40 to 85 C,TR,,STM32F098CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f0x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f098cc.html#plasma-evidence=stm32f0-phase4.5b-official-st-discovery-2026-09-09-retained-20260909T055900Z-1fcdf869,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
