manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32G030C6T6,STM32G0,STM32G030,STM32G030C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32G030C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g030c6.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G030C6T6TR,STM32G0,STM32G030,STM32G030C6,LQFP,48,32 KiB,-40 to 85 C,TR,,STM32G030C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g030c6.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G031C4T6,STM32G0,STM32G031,STM32G031C4,LQFP,48,16 KiB,-40 to 85 C,,,STM32G031C4Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g031c4.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G031C4U6,STM32G0,STM32G031,STM32G031C4,UFQFPN,48,16 KiB,-40 to 85 C,,,STM32G031C4Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g031c4.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G041C6T6,STM32G0,STM32G041,STM32G041C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32G041C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g041c6.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G050C6T6,STM32G0,STM32G050,STM32G050C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32G050C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g050c6.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G051C6T6,STM32G0,STM32G051,STM32G051C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32G051C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g051c6.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G051C6U6,STM32G0,STM32G051,STM32G051C6,UFQFPN,48,32 KiB,-40 to 85 C,,,STM32G051C6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g051c6.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G051C6U6TR,STM32G0,STM32G051,STM32G051C6,UFQFPN,48,32 KiB,-40 to 85 C,TR,,STM32G051C6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g051c6.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G051C6U7,STM32G0,STM32G051,STM32G051C6,UFQFPN,48,32 KiB,-40 to 105 C,,,STM32G051C6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g0x.cfg,official_st_ordering_information_plus_retained_phase4_8b_identity,https://www.st.com/resource/en/datasheet/stm32g051c6.pdf#identity=stm32g0-phase4.8b-official-st-discovery-2026-09-09-retained-20260909T153114Z-233e9300,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
