manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32G431C6T6,STM32G4,STM32G431,STM32G431C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32G431C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g431c6.pdf#document=DS12589;revision=6;table=101;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G431C6U6,STM32G4,STM32G431,STM32G431C6,UFQFPN,48,32 KiB,-40 to 85 C,,,STM32G431C6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g431c6.pdf#document=DS12589;revision=6;table=101;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G441CBT6,STM32G4,STM32G441,STM32G441CB,LQFP,48,128 KiB,-40 to 85 C,,,STM32G441CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g441cb.pdf#document=DS12960;revision=5;table=101;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G441CBU6,STM32G4,STM32G441,STM32G441CB,UFQFPN,48,128 KiB,-40 to 85 C,,,STM32G441CBUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g441cb.pdf#document=DS12960;revision=5;table=101;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G441CBY6TR,STM32G4,STM32G441,STM32G441CB,WLCSP,49,128 KiB,-40 to 85 C,TR,,STM32G441CBYx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g441cb.pdf#document=DS12960;revision=5;table=101;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G473CBT3,STM32G4,STM32G473,STM32G473CB,LQFP,48,128 KiB,-40 to 125 C,,,STM32G473CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g473cb.pdf#document=DS12712;revision=5;table=119;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G473CBT6,STM32G4,STM32G473,STM32G473CB,LQFP,48,128 KiB,-40 to 85 C,,,STM32G473CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g473cb.pdf#document=DS12712;revision=5;table=119;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G473CBU6,STM32G4,STM32G473,STM32G473CB,UFQFPN,48,128 KiB,-40 to 85 C,,,STM32G473CBUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g473cb.pdf#document=DS12712;revision=5;table=119;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G474CBT3,STM32G4,STM32G474,STM32G474CB,LQFP,48,128 KiB,-40 to 125 C,,,STM32G474CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g474cb.pdf#document=DS12288;revision=6;table=124;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32G474CBT3TR,STM32G4,STM32G474,STM32G474CB,LQFP,48,128 KiB,-40 to 125 C,TR,,STM32G474CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32g4x.cfg,official_st_ordering_information_plus_retained_phase4_9b_identity,https://www.st.com/resource/en/datasheet/stm32g474cb.pdf#document=DS12288;revision=6;table=124;identity=stm32g4-phase4.9b-official-st-discovery-2026-09-10-retained-20260910T003814Z-3c74395a,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
