manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32H723VEH6,STM32H7,STM32H723,STM32H723VE,TFBGA,100,512 KiB,-40..85 C,,,STM32H723VEHx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H723VET6,STM32H7,STM32H723,STM32H723VE,LQFP,100,512 KiB,-40..85 C,,,STM32H723VETx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H723VET6TR,STM32H7,STM32H723,STM32H723VE,LQFP,100,512 KiB,-40..85 C,TR,,STM32H723VETx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H723VGH6,STM32H7,STM32H723,STM32H723VG,TFBGA,100,1024 KiB,-40..85 C,,,STM32H723VGHx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H723VGT6,STM32H7,STM32H723,STM32H723VG,LQFP,100,1024 KiB,-40..85 C,,,STM32H723VGTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H723ZEI6,STM32H7,STM32H723,STM32H723ZE,UFBGA,144,512 KiB,-40..85 C,,,STM32H723ZEIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H723ZET6,STM32H7,STM32H723,STM32H723ZE,LQFP,144,512 KiB,-40..85 C,,,STM32H723ZETx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H723ZGI6,STM32H7,STM32H723,STM32H723ZG,UFBGA,144,1024 KiB,-40..85 C,,,STM32H723ZGIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H723ZGT6,STM32H7,STM32H723,STM32H723ZG,LQFP,144,1024 KiB,-40..85 C,,,STM32H723ZGTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13313 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h723vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H725AEI6,STM32H7,STM32H725,STM32H725AE,UFBGA,169,512 KiB,-40..85 C,,,STM32H725AEIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13311 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h725ag.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
