manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32H7R3A8I6,STM32H7RS,STM32H7R3,STM32H7R3A8,UFBGA,169,64 KiB,-40..85 C,,,STM32H7R3A8Ix,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3I8K6,STM32H7RS,STM32H7R3,STM32H7R3I8,UFBGA,176,64 KiB,-40..85 C,,,STM32H7R3I8Kx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3I8T6,STM32H7RS,STM32H7R3,STM32H7R3I8,LQFP,176,64 KiB,-40..85 C,,,STM32H7R3I8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3L8H6,STM32H7RS,STM32H7R3,STM32H7R3L8,TFBGA,225,64 KiB,-40..85 C,,,STM32H7R3L8Hx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3L8H6H,STM32H7RS,STM32H7R3,STM32H7R3L8,TFBGA,225,64 KiB,-40..85 C,H,STM32H7R3L8HxH,STM32H7R3L8HxH,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3R8V6,STM32H7RS,STM32H7R3,STM32H7R3R8,VFQFPN,68,64 KiB,-40..85 C,,,STM32H7R3R8Vx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3V8H6,STM32H7RS,STM32H7R3,STM32H7R3V8,TFBGA,100,64 KiB,-40..85 C,,,STM32H7R3V8Hx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3V8T6,STM32H7RS,STM32H7R3,STM32H7R3V8,LQFP,100,64 KiB,-40..85 C,,,STM32H7R3V8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3V8Y6TR,STM32H7RS,STM32H7R3,STM32H7R3V8,WLCSP,101,64 KiB,-40..85 C,TR,,STM32H7R3V8Yx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32H7R3Z8J6,STM32H7RS,STM32H7R3,STM32H7R3Z8,UFBGA,144,64 KiB,-40..85 C,,,STM32H7R3Z8Jx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32h7rsx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14360 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32h7r7z8.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
