part_number,identifier_kind,target_config,openocd_distribution,mapping_status,validation_status,catalog_origin
STM32L552CCTx,ordering_pattern,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552CCUx,ordering_pattern,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552CETx,ordering_pattern,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552CETxP,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552CEUx,ordering_pattern,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552CEUxP,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552MEYxP,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552MEYxQ,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552QCIxQ,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552QEIx,ordering_pattern,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552QEIxP,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552QEIxQ,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552RCTx,ordering_pattern,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552RETx,ordering_pattern,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552RETxP,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552RETxQ,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552VCTxQ,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552VETx,ordering_pattern,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
STM32L552VETxQ,cmsis_device_name,tcl/target/stm32l5x.cfg,upstream-openocd,mapping_candidate,not_verified,plasma_openocd_parts_top5_mapped.csv
