manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32L552CCT6,STM32L5,STM32L552,STM32L552CC,LQFP,48,256 KiB,-40..85 C,,,STM32L552CCTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552CCU6,STM32L5,STM32L552,STM32L552CC,UFQFPN,48,256 KiB,-40..85 C,,,STM32L552CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552CCU6TR,STM32L5,STM32L552,STM32L552CC,UFQFPN,48,256 KiB,-40..85 C,TR,,STM32L552CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552CET6,STM32L5,STM32L552,STM32L552CE,LQFP,48,512 KiB,-40..85 C,,,STM32L552CETx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552CET6P,STM32L5,STM32L552,STM32L552CE,LQFP,48,512 KiB,-40..85 C,P,STM32L552CETxP,STM32L552CETxP,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552CEU6,STM32L5,STM32L552,STM32L552CE,UFQFPN,48,512 KiB,-40..85 C,,,STM32L552CEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552CEU6P,STM32L5,STM32L552,STM32L552CE,UFQFPN,48,512 KiB,-40..85 C,P,STM32L552CEUxP,STM32L552CEUxP,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552MEY6PTR,STM32L5,STM32L552,STM32L552ME,WLCSP,81,512 KiB,-40..85 C,PTR,STM32L552MEYxP,STM32L552MEYxP,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552MEY6QTR,STM32L5,STM32L552,STM32L552ME,WLCSP,81,512 KiB,-40..85 C,QTR,STM32L552MEYxQ,STM32L552MEYxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552QCI6Q,STM32L5,STM32L552,STM32L552QC,UFBGA,132,256 KiB,-40..85 C,Q,STM32L552QCIxQ,STM32L552QCIxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552QEI6,STM32L5,STM32L552,STM32L552QE,UFBGA,132,512 KiB,-40..85 C,,,STM32L552QEIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552QEI6Q,STM32L5,STM32L552,STM32L552QE,UFBGA,132,512 KiB,-40..85 C,Q,STM32L552QEIxQ,STM32L552QEIxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552RCT3,STM32L5,STM32L552,STM32L552RC,LQFP,64,256 KiB,-40..125 C,,,STM32L552RCTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552RCT6,STM32L5,STM32L552,STM32L552RC,LQFP,64,256 KiB,-40..85 C,,,STM32L552RCTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552RET6,STM32L5,STM32L552,STM32L552RE,LQFP,64,512 KiB,-40..85 C,,,STM32L552RETx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32L552RET6P,STM32L5,STM32L552,STM32L552RE,LQFP,64,512 KiB,-40..85 C,P,STM32L552RETxP,STM32L552RETxP,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32l5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS12737 Rev 6 p334,https://www.st.com/resource/en/datasheet/stm32l552cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
