manufacturer,family,base_device,icpn,marketing_status,source_url,observed_at,authority
STMicroelectronics,STM32U3,STM32U375CE,STM32U375CET6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ce.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CE,STM32U375CET6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ce.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CE,STM32U375CEU6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ce.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CE,STM32U375CEU6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ce.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CE,STM32U375CEY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ce.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CG,STM32U375CGT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CG,STM32U375CGT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CG,STM32U375CGT6TR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CG,STM32U375CGU6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CG,STM32U375CGU6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375CG,STM32U375CGY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375KE,STM32U375KEU6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ke.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375KG,STM32U375KGU6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375kg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375KG,STM32U375KGU6TR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375kg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375KG,STM32U375KGU7,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375kg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RE,STM32U375REI6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375re.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RE,STM32U375REI6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375re.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RE,STM32U375RET6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375re.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RE,STM32U375RET6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375re.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RE,STM32U375RET6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375re.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RE,STM32U375RET6TR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375re.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RE,STM32U375REY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375re.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RG,STM32U375RGI6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375rg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RG,STM32U375RGI6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375rg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RG,STM32U375RGT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375rg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RG,STM32U375RGT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375rg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RG,STM32U375RGT6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375rg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RG,STM32U375RGT6TR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375rg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RG,STM32U375RGY6GTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375rg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375RG,STM32U375RGY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375rg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VE,STM32U375VEI6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ve.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VE,STM32U375VEI6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ve.html,2026-09-15,ST Quality & Reliability
