manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32U535CBT6,STM32U5,STM32U535,STM32U535CB,LQFP,48,128 KiB,-40..85 C,,,STM32U535CBTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CBT6Q,STM32U5,STM32U535,STM32U535CB,LQFP,48,128 KiB,-40..85 C,Q,STM32U535CBTxQ,STM32U535CBTxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CBU6,STM32U5,STM32U535,STM32U535CB,UFQFPN,48,128 KiB,-40..85 C,,,STM32U535CBUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CBU6Q,STM32U5,STM32U535,STM32U535CB,UFQFPN,48,128 KiB,-40..85 C,Q,STM32U535CBUxQ,STM32U535CBUxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CCT6,STM32U5,STM32U535,STM32U535CC,LQFP,48,256 KiB,-40..85 C,,,STM32U535CCTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CCT6Q,STM32U5,STM32U535,STM32U535CC,LQFP,48,256 KiB,-40..85 C,Q,STM32U535CCTxQ,STM32U535CCTxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CCU6,STM32U5,STM32U535,STM32U535CC,UFQFPN,48,256 KiB,-40..85 C,,,STM32U535CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CCU6Q,STM32U5,STM32U535,STM32U535CC,UFQFPN,48,256 KiB,-40..85 C,Q,STM32U535CCUxQ,STM32U535CCUxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CCU6TR,STM32U5,STM32U535,STM32U535CC,UFQFPN,48,256 KiB,-40..85 C,TR,,STM32U535CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U535CET6,STM32U5,STM32U535,STM32U535CE,LQFP,48,512 KiB,-40..85 C,,,STM32U535CETx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u5x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14217 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u535ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
