manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32WBA23CEU6,STM32WBA2X,STM32WBA23,STM32WBA23CE,UFQFPN,48,512 KiB,-40..85 C,,,STM32WBA23CEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA23CEU6TR,STM32WBA2X,STM32WBA23,STM32WBA23CE,UFQFPN,48,512 KiB,-40..85 C,TR,,STM32WBA23CEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA23CEU7,STM32WBA2X,STM32WBA23,STM32WBA23CE,UFQFPN,48,512 KiB,-40..105 C,,,STM32WBA23CEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA23CEU7TR,STM32WBA2X,STM32WBA23,STM32WBA23CE,UFQFPN,48,512 KiB,-40..105 C,TR,,STM32WBA23CEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA23KEU6,STM32WBA2X,STM32WBA23,STM32WBA23KE,UFQFPN,32,512 KiB,-40..85 C,,,STM32WBA23KEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA23KEU6TR,STM32WBA2X,STM32WBA23,STM32WBA23KE,UFQFPN,32,512 KiB,-40..85 C,TR,,STM32WBA23KEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA23KEU7,STM32WBA2X,STM32WBA23,STM32WBA23KE,UFQFPN,32,512 KiB,-40..105 C,,,STM32WBA23KEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA23KEU7TR,STM32WBA2X,STM32WBA23,STM32WBA23KE,UFQFPN,32,512 KiB,-40..105 C,TR,,STM32WBA23KEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA25CEU6,STM32WBA2X,STM32WBA25,STM32WBA25CE,UFQFPN,48,512 KiB,-40..85 C,,,STM32WBA25CEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA25CEU6TR,STM32WBA2X,STM32WBA25,STM32WBA25CE,UFQFPN,48,512 KiB,-40..85 C,TR,,STM32WBA25CEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba2x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS15003 Rev 2 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wba23ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
