manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32WB10CCU5,STM32WBX,STM32WB10,STM32WB10CC,UFQFPN,48,320 KiB,-10..85 C,,,STM32WB10CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13259 Rev 7 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb10cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB15CCU6,STM32WBX,STM32WB15,STM32WB15CC,UFQFPN,48,320 KiB,-40..85 C,,,STM32WB15CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13258 Rev 10 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb15cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB15CCU6E,STM32WBX,STM32WB15,STM32WB15CC,UFQFPN,48,320 KiB,-40..85 C,E,STM32WB15CCUxE,STM32WB15CCUxE,cmsis_device_name,deterministic_cmsis_commercial_bridge,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13258 Rev 10 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb15cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB15CCU7,STM32WBX,STM32WB15,STM32WB15CC,UFQFPN,48,320 KiB,-40..105 C,,,STM32WB15CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13258 Rev 10 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb15cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB15CCU7E,STM32WBX,STM32WB15,STM32WB15CC,UFQFPN,48,320 KiB,-40..105 C,E,STM32WB15CCUxE,STM32WB15CCUxE,cmsis_device_name,deterministic_cmsis_commercial_bridge,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13258 Rev 10 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb15cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB15CCY6TR,STM32WBX,STM32WB15,STM32WB15CC,WLCSP,49,320 KiB,-40..85 C,TR,,STM32WB15CCYx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13258 Rev 10 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb15cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB1MMCH6TR,STM32WBX,STM32WB1M,STM32WB1MMC,LGA,77,320 KiB,-40..85 C,TR,,STM32WB1MMCHx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14096 Rev 8 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb1mmc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB30CEU5A,STM32WBX,STM32WB30,STM32WB30CE,UFQFPN,48,512 KiB,-10..85 C,A,STM32WB30CEUxA,STM32WB30CEUxA,cmsis_device_name,deterministic_cmsis_commercial_bridge,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13047 Rev 9 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb30ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB30CEU5ATR,STM32WBX,STM32WB30,STM32WB30CE,UFQFPN,48,512 KiB,-10..85 C,ATR,STM32WB30CEUxA,STM32WB30CEUxA,cmsis_device_name,deterministic_cmsis_commercial_bridge,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13047 Rev 9 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb30ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB35CCU6A,STM32WBX,STM32WB35,STM32WB35CC,UFQFPN,48,256 KiB,-40..85 C,A,STM32WB35CCUxA,STM32WB35CCUxA,cmsis_device_name,deterministic_cmsis_commercial_bridge,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS11929 Rev 17 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb55ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WB35CCU6ATR,STM32WBX,STM32WB35,STM32WB35CC,UFQFPN,48,256 KiB,-40..85 C,ATR,STM32WB35CCUxA,STM32WB35CCUxA,cmsis_device_name,deterministic_cmsis_commercial_bridge,tcl/target/stm32wbx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS11929 Rev 17 Ordering information,https://www.st.com/resource/en/datasheet/stm32wb55ce.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
