manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32WL54CCU6,STM32WLX,STM32WL54,STM32WL54CC,UFQFPN,48,256 KiB,-40..85 C,,,STM32WL54CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL54CCU7,STM32WLX,STM32WL54,STM32WL54CC,UFQFPN,48,256 KiB,-40..105 C,,,STM32WL54CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL54JCI6,STM32WLX,STM32WL54,STM32WL54JC,UFBGA,73,256 KiB,-40..85 C,,,STM32WL54JCIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL54JCI7,STM32WLX,STM32WL54,STM32WL54JC,UFBGA,73,256 KiB,-40..105 C,,,STM32WL54JCIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL55CCU6,STM32WLX,STM32WL55,STM32WL55CC,UFQFPN,48,256 KiB,-40..85 C,,,STM32WL55CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL55CCU6TR,STM32WLX,STM32WL55,STM32WL55CC,UFQFPN,48,256 KiB,-40..85 C,TR,,STM32WL55CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL55CCU7,STM32WLX,STM32WL55,STM32WL55CC,UFQFPN,48,256 KiB,-40..105 C,,,STM32WL55CCUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL55JCI6,STM32WLX,STM32WL55,STM32WL55JC,UFBGA,73,256 KiB,-40..85 C,,,STM32WL55JCIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL55JCI6TR,STM32WLX,STM32WL55,STM32WL55JC,UFBGA,73,256 KiB,-40..85 C,TR,,STM32WL55JCIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WL55JCI7,STM32WLX,STM32WL55,STM32WL55JC,UFBGA,73,256 KiB,-40..105 C,,,STM32WL55JCIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wlx.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS13293 Rev 5 Ordering Information,https://www.st.com/resource/en/datasheet/stm32wl55cc.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
