[2025-06-27 12:33:52,544] Server running on port 9001 for IC: cc2340r5
[2025-06-27 12:34:00,507] Connected with ('127.0.0.1', 53026)
[2025-06-27 12:34:00,507] Connected with ('127.0.0.1', 53032)
[2025-06-27 12:34:00,507] Connected with ('127.0.0.1', 53036)
[2025-06-27 12:34:00,507] Connected with ('127.0.0.1', 53040)
[2025-06-27 12:34:00,508] Received 1028 bytes from ('127.0.0.1', 53026)
[2025-06-27 12:34:00,508] Received 1028 bytes from ('127.0.0.1', 53032)
[2025-06-27 12:34:00,508] Received 1028 bytes from ('127.0.0.1', 53036)
[2025-06-27 12:34:00,508] Received 1028 bytes from ('127.0.0.1', 53040)
[2025-06-27 12:34:15,132] Connected with ('127.0.0.1', 40908)
[2025-06-27 12:34:15,132] Connected with ('127.0.0.1', 40910)
[2025-06-27 12:34:15,132] Connected with ('127.0.0.1', 40920)
[2025-06-27 12:34:15,132] Connected with ('127.0.0.1', 40922)
[2025-06-27 12:34:15,133] Received 1028 bytes from ('127.0.0.1', 40908)
[2025-06-27 12:34:15,133] Received 1028 bytes from ('127.0.0.1', 40910)
[2025-06-27 12:34:15,133] Received 1028 bytes from ('127.0.0.1', 40920)
[2025-06-27 12:34:15,133] Received 1028 bytes from ('127.0.0.1', 40922)
